date,gold_usd_oz,gold_eur_oz,silver_usd_oz,silver_eur_oz,aluminum_usd_mt,aluminum_eur_mt,copper_usd_mt,copper_eur_mt,lithium_usd_mt,lithium_eur_mt
2026-01-01,4319.8200,,71.2600,,2998.2892,,12456.1280,,16950.0000,
2026-01-02,4332.0100,3695.9410,72.6200,61.9572,3020.3355,2576.8596,12456.1280,10627.1947,16950.0000,14461.2315
2026-01-03,4332.0100,,72.6200,,3020.3355,,12456.1280,,16950.0000,
2026-01-04,4332.0100,,72.6200,,3020.3355,,12456.1280,,16950.0000,
2026-01-05,4447.7300,3813.2168,76.4800,65.5694,3086.4742,2646.1578,13073.4228,11208.3683,17110.0000,14669.0874
2026-01-06,4489.0700,3834.5187,81.0500,69.2321,3130.5667,2674.0988,13227.7465,11299.0088,18260.0000,15597.5094
2026-01-07,4452.3800,3810.6585,78.1400,66.8777,3086.4742,2641.6207,12808.8679,10962.7258,19090.0000,16338.5583
2026-01-08,4449.4900,3811.1217,75.7400,64.8736,3086.4742,2643.6577,12654.5442,10838.9967,19840.0000,16993.5552
2026-01-09,4510.6100,3874.4336,79.9500,68.6739,3152.6129,2707.9684,12919.0991,11096.9894,20050.0000,17222.1480
2026-01-10,4510.6100,,79.9500,,3152.6129,,12919.0991,,20050.0000,
2026-01-11,4510.6100,,79.9500,,3152.6129,,12919.0991,,20050.0000,
2026-01-12,4609.6700,3942.6047,85.3700,73.0161,3196.7054,2734.1102,13161.6078,11256.9915,21800.0000,18645.3220
2026-01-13,4595.3500,3943.1320,87.6500,75.2098,3196.7054,2742.9970,13161.6078,11293.5808,22870.0000,19624.0609
2026-01-14,4635.2500,3978.4351,92.1200,79.0666,3196.7054,2743.7322,13426.1627,11523.6754,23370.0000,20058.4710
2026-01-15,4616.9700,3971.9331,92.3400,79.4392,3174.6592,2731.1276,13227.7465,11379.6980,22820.0000,19631.8178
2026-01-16,4594.8300,3955.2756,89.9400,77.4213,3130.5667,2694.8231,12852.9604,11063.9568,22670.0000,19514.5627
2026-01-17,4594.8300,,89.9400,,3130.5667,,12852.9604,,22670.0000,
2026-01-18,4594.8300,,89.9400,,3130.5667,,12852.9604,,22670.0000,
2026-01-19,4678.2900,4022.2534,94.5600,81.2999,3174.6592,2729.4767,13029.3303,11202.2273,21690.0000,18648.4113
2026-01-20,4759.0400,4057.8430,94.6100,80.6702,3108.5204,2650.5110,12786.8216,10902.8113,21910.0000,18681.7806
2026-01-21,4848.2700,4130.0473,93.6100,79.7426,3130.5667,2666.8045,12698.6367,10817.4607,22760.0000,19388.3336
2026-01-22,4916.4100,4199.8924,96.2400,82.2140,3130.5667,2674.3179,12786.8216,10923.2702,23580.0000,20143.4508
2026-01-23,4987.6600,4247.6908,102.9500,87.6763,3174.6592,2703.6668,13117.5153,11171.4007,24550.0000,20907.7620
2026-01-24,4987.6600,,102.9500,,3174.6592,,13117.5153,,24550.0000,
2026-01-25,4987.6600,,102.9500,,3174.6592,,13117.5153,,24550.0000,
2026-01-26,5071.1100,4284.4794,111.3500,94.0774,3196.7054,2700.8325,13161.6078,11119.9792,26100.0000,22051.3680
2026-01-27,5088.0000,4265.2195,108.1000,90.6191,3218.7517,2698.2474,12941.1453,10848.4327,24800.0000,20789.5920
2026-01-28,5279.7100,4409.2970,111.1700,92.8425,3262.8441,2724.9316,13051.3766,10899.7267,24760.0000,20678.0664
2026-01-29,5339.7300,4461.6648,114.5500,95.7134,3240.7979,2707.8811,13690.7176,11439.4160,24185.1182,20208.1174
2026-01-30,4887.0700,4100.2517,84.6300,71.0046,3108.5204,2608.0486,12985.2378,10894.6145,23133.3174,19408.8533
2026-01-31,4887.0700,,84.6300,,3108.5204,,13051.3766,,23133.3174,
2026-02-01,4887.0700,,84.6300,,3108.5204,,13051.3766,,23133.3174,
2026-02-02,4659.8600,3935.6712,78.7100,66.4777,3064.4279,2588.1852,12808.8679,10818.2417,23133.3174,19538.1685
2026-02-03,4908.1300,4159.1003,83.9900,71.1723,3108.5204,2634.1291,13337.9777,11302.4689,23133.3174,19602.9418
2026-02-04,4930.1300,4170.9886,86.0000,72.7577,3042.3817,2573.9158,12963.1916,10967.1194,22043.3130,18649.0837
2026-02-05,4854.0000,4114.2504,75.9500,64.3752,3042.3817,2578.7227,12764.7754,10819.4236,20744.9056,17583.3820
2026-02-06,4968.5600,4212.7923,77.9800,66.1185,3108.5204,2635.6834,12963.1916,10991.3605,19385.1440,16436.4697
2026-02-07,4968.5600,,77.9800,,3108.5204,,12963.1916,,19385.1440,
2026-02-08,4968.5600,,77.9800,,3108.5204,,12963.1916,,19385.1440,
